,pick_no,avg_ws,total_ws to date,years played,year drafted
John Henson,14,2.59,20.7,8,2012
Anthony Bennett,1,0.12,0.5,4,2013
Victor Oladipo,2,3.07,24.6,8,2013
Otto Porter,3,3.89,31.1,8,2013
Cody Zeller,4,3.87,31.0,8,2013
Alex Len,5,2.6,20.8,8,2013
Nerlens Noel,6,3.81,26.7,7,2013
Ben McLemore,7,1.02,8.2,8,2013
Kentavious Caldwell-Pope,8,3.95,31.6,8,2013
Trey Burke,9,1.61,12.9,8,2013
CJ McCollum,10,4.58,36.6,8,2013
Michael Carter-Williams,11,0.82,6.6,8,2013
Steven Adams,12,6.16,49.3,8,2013
Kelly Olynyk,13,4.21,33.7,8,2013
Shabazz Muhammad,14,1.68,8.4,5,2013
Andrew Wiggins,1,2.7,18.9,7,2014
Jabari Parker,2,1.91,13.4,7,2014
Joel Embiid,3,6.32,31.6,5,2014
Aaron Gordon,4,3.39,23.7,7,2014
Dante Exum,5,0.52,3.1,6,2014
Marcus Smart,6,3.43,24.0,7,2014
Julius Randle,7,4.03,28.2,7,2014
Nik Stauskas,8,0.76,3.8,5,2014
Noah Vonleh,9,1.31,9.2,7,2014
Elfrid Payton,10,2.27,15.9,7,2014
Doug McDermott,11,2.53,17.7,7,2014
Dario Šarić,12,3.28,16.4,5,2014
Zach LaVine,13,2.56,17.9,7,2014
T.J. Warren,14,2.79,19.5,7,2014
Karl-Anthony Towns,1,9.32,55.9,6,2015
D'Angelo Russell,2,1.68,10.1,6,2015
Jahlil Okafor,3,1.18,7.1,6,2015
Kristaps Porziņģis,4,4.32,21.6,5,2015
Mario Hezonja,5,0.64,3.2,5,2015
Willie Cauley-Stein,6,3.83,23.0,6,2015
Emmanuel Mudiay,7,-0.02,-0.1,5,2015
Stanley Johnson,8,0.72,4.3,6,2015
Frank Kaminsky,9,2.4,14.4,6,2015
Justise Winslow,10,1.18,7.1,6,2015
Myles Turner,11,4.93,29.6,6,2015
Trey Lyles,12,1.83,11.0,6,2015
Devin Booker,13,3.7,22.2,6,2015
Cameron Payne,14,1.08,6.5,6,2015
